codice_istat,Comune,Codice_Regione,Codice_Provincia,Nuclei_familiari_percettori_RDC_luglio_2020,Nuclei_familiari_percettori_PDC_luglio_2020,Individui_coinvolti_luglio_2020,Numero_componenti_per_famiglia,Numero_donne_per_famiglia,Numero_minori_<_18_anni_per_famiglia,Numero_anziani_>_75_anni_per_famiglia,Importo_medio_mensile,Dev.standard_importo_mensile,Uomini_residenti_al_1-1-2020,Donne_residenti_al_1-1-2020,Popolazione_residente_al_1-1-2020,Takeup,Takeup_donne
g289,palmiano,11.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.255,234.863,79.0,92.0,171.0,0.0,0.0
g290,palmoli,13.0,69.0,11.0,0.0,19.0,1.462,0.462,0.154,0.231,537.4,131.491,427.0,411.0,838.0,0.023,0.015
g291,palodelcolle,16.0,72.0,638.0,65.0,1816.0,2.583,1.403,0.619,0.085,543.143,281.785,10297.0,10594.0,20891.0,0.087,0.093
g292,palomonte,15.0,65.0,43.0,0.0,98.0,2.227,1.25,0.682,0.0,489.02,210.767,1939.0,1929.0,3868.0,0.025,0.029
g293,palombarasabina,12.0,58.0,228.0,26.0,555.0,2.185,1.177,0.512,0.051,531.145,261.749,6286.0,6402.0,12688.0,0.044,0.047
g294,palombaro,13.0,69.0,10.0,0.0,28.0,2.154,1.154,0.385,0.308,406.883,339.747,474.0,486.0,960.0,0.029,0.031
g295,palosco,3.0,16.0,18.0,0.0,57.0,2.85,1.75,1.1,0.1,522.533,218.727,2838.0,2871.0,5709.0,0.01,0.012
g296,palùdelfersina,4.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,78.0,165.0,0.0,0.0
g297,palù,5.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,481.11,40.234,618.0,618.0,1236.0,0.0,0.0
g298,paludi,18.0,78.0,25.0,0.0,42.0,1.68,0.6,0.16,0.0,463.297,148.506,520.0,503.0,1023.0,0.041,0.03
g299,plaus/plaus,4.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,381.0,359.0,740.0,0.0,0.0
g300,paluzza,6.0,30.0,6.0,0.0,8.0,1.143,0.429,0.0,0.0,209.639,150.948,1018.0,1044.0,2062.0,0.004,0.003
g302,pamparato,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.475,296.044,153.0,132.0,285.0,0.0,0.0
g303,pancalieri,1.0,1.0,13.0,7.0,29.0,1.45,0.6,0.2,0.25,424.244,246.08,991.0,1047.0,2038.0,0.014,0.011
g304,pancarana,3.0,18.0,4.0,0.0,7.0,1.75,1.25,0.0,0.0,598.997,394.196,160.0,148.0,308.0,0.023,0.034
g305,panchià,4.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,406.0,431.0,837.0,0.0,0.0
g306,pandino,3.0,19.0,60.0,9.0,155.0,2.246,1.29,0.536,0.058,428.629,292.718,4410.0,4468.0,8878.0,0.017,0.02
g307,panettieri,18.0,78.0,8.0,0.0,13.0,1.625,0.875,0.375,0.0,541.596,117.96,151.0,160.0,311.0,0.042,0.044
g308,panicale,10.0,54.0,42.0,9.0,116.0,2.275,1.216,0.51,0.078,457.145,273.953,2659.0,2838.0,5497.0,0.021,0.022
g309,villaricca,15.0,63.0,1557.0,89.0,5174.0,3.143,1.692,0.893,0.053,661.124,315.233,14932.0,15860.0,30792.0,0.168,0.176
g311,pannarano,15.0,62.0,166.0,12.0,335.0,1.882,0.876,0.343,0.034,516.673,219.876,1069.0,1008.0,2077.0,0.161,0.155
g312,panni,16.0,71.0,8.0,0.0,14.0,1.75,0.75,0.25,0.0,433.516,172.878,354.0,387.0,741.0,0.019,0.016
g315,pantelleria,19.0,81.0,207.0,22.0,494.0,2.157,1.122,0.559,0.057,503.92,254.183,3725.0,3771.0,7496.0,0.066,0.068
g316,pantigliate,3.0,15.0,41.0,6.0,113.0,2.404,1.404,0.511,0.106,490.065,251.539,2845.0,2967.0,5812.0,0.019,0.022
g317,paola,18.0,78.0,534.0,48.0,1374.0,2.361,1.256,0.533,0.067,513.28,268.451,7452.0,8014.0,15466.0,0.089,0.091
g318,paolisi,15.0,62.0,54.0,4.0,154.0,2.655,1.31,0.672,0.086,569.601,268.658,1045.0,1007.0,2052.0,0.075,0.075
g319,valderice,19.0,81.0,326.0,29.0,836.0,2.355,1.254,0.586,0.068,534.276,264.678,5829.0,5903.0,11732.0,0.071,0.075
g320,papasidero,18.0,78.0,8.0,0.0,17.0,2.125,1.0,0.75,0.125,459.723,265.744,335.0,326.0,661.0,0.026,0.025
g323,papozze,5.0,29.0,12.0,0.0,27.0,1.8,1.2,0.4,0.2,446.485,370.814,698.0,747.0,1445.0,0.019,0.024
g324,parabiago,3.0,15.0,175.0,17.0,484.0,2.521,1.302,0.776,0.052,541.785,279.901,13826.0,14291.0,28117.0,0.017,0.017
g325,parabita,16.0,75.0,217.0,21.0,585.0,2.458,1.294,0.555,0.063,532.37,261.41,4195.0,4595.0,8790.0,0.067,0.067
g327,paratico,3.0,17.0,18.0,4.0,41.0,1.864,0.955,0.409,0.091,446.357,257.358,2422.0,2392.0,4814.0,0.009,0.009
g328,parcines/partschins,4.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1876.0,1938.0,3814.0,0.0,0.0
g330,parella,1.0,1.0,5.0,0.0,7.0,1.4,1.0,0.2,0.0,595.538,271.704,193.0,224.0,417.0,0.017,0.022
g331,parenti,18.0,78.0,48.0,4.0,117.0,2.25,1.038,0.385,0.115,514.724,230.709,1055.0,1061.0,2116.0,0.055,0.051
g333,parete,15.0,61.0,543.0,39.0,1526.0,2.622,1.383,0.682,0.045,534.198,264.488,5896.0,6012.0,11908.0,0.128,0.134
g334,pareto,1.0,6.0,4.0,0.0,13.0,3.25,1.25,1.0,0.0,738.27,377.248,288.0,240.0,528.0,0.025,0.021
g335,parghelia,18.0,102.0,39.0,6.0,92.0,2.044,1.089,0.511,0.067,528.821,255.306,606.0,663.0,1269.0,0.072,0.074
g336,parlasco,3.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,66.0,133.0,0.0,0.0
g337,parma,8.0,34.0,1954.0,297.0,4672.0,2.076,1.087,0.529,0.091,420.064,261.347,96505.0,103950.0,200455.0,0.023,0.024
g338,parodiligure,1.0,6.0,4.0,0.0,4.0,1.0,0.0,0.0,0.0,541.05,161.689,338.0,299.0,637.0,0.006,0.0
g339,paroldo,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,106.0,204.0,0.0,0.0
g340,parolise,15.0,64.0,17.0,0.0,37.0,2.056,0.944,0.278,0.056,523.229,272.479,319.0,326.0,645.0,0.057,0.052
g342,parona,3.0,18.0,28.0,4.0,83.0,2.594,1.5,0.969,0.125,466.315,272.997,986.0,926.0,1912.0,0.043,0.052
g344,parrano,10.0,55.0,7.0,0.0,17.0,2.429,1.429,0.143,0.0,612.497,162.399,236.0,251.0,487.0,0.035,0.04
g346,parre,3.0,16.0,8.0,0.0,28.0,3.5,2.0,1.0,0.125,599.105,283.147,1331.0,1374.0,2705.0,0.01,0.012
g347,partanna,19.0,81.0,322.0,30.0,859.0,2.44,1.196,0.685,0.06,565.847,247.176,4963.0,5178.0,10141.0,0.085,0.081
g348,partinico,19.0,82.0,1793.0,146.0,5235.0,2.7,1.351,0.72,0.051,623.732,268.395,15391.0,15526.0,30917.0,0.169,0.169
g349,paruzzaro,1.0,3.0,12.0,0.0,30.0,2.5,1.083,0.833,0.0,583.542,332.784,1062.0,1094.0,2156.0,0.014,0.012
g350,parzanica,3.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254.123,248.659,187.0,170.0,357.0,0.0,0.0
g352,pasiandiprato,6.0,30.0,40.0,6.0,93.0,2.022,1.087,0.478,0.065,433.808,251.209,4518.0,4888.0,9406.0,0.01,0.01
g353,pasianodipordenone,6.0,93.0,25.0,6.0,83.0,2.677,1.516,1.097,0.226,429.119,292.466,3816.0,3833.0,7649.0,0.011,0.012
g354,paspardo,3.0,17.0,4.0,0.0,9.0,1.8,0.4,0.6,0.2,574.352,171.734,315.0,286.0,601.0,0.015,0.007
g358,passeranomarmorito,1.0,5.0,6.0,0.0,11.0,1.571,0.714,0.143,0.143,448.92,233.93,219.0,197.0,416.0,0.026,0.025
g359,passignanosultrasimeno,10.0,54.0,39.0,7.0,97.0,2.109,1.261,0.435,0.109,486.653,244.188,2681.0,2828.0,5509.0,0.018,0.021
g361,passirano,3.0,17.0,24.0,8.0,52.0,1.625,0.812,0.25,0.125,427.247,275.762,3433.0,3541.0,6974.0,0.007,0.007
g362,pastena,12.0,60.0,23.0,0.0,55.0,2.292,1.0,0.625,0.0,608.73,201.117,664.0,669.0,1333.0,0.041,0.036
g364,pastorano,15.0,61.0,80.0,7.0,189.0,2.172,1.161,0.471,0.057,527.227,247.274,1498.0,1520.0,3018.0,0.063,0.066
g365,pastrengo,5.0,23.0,6.0,0.0,16.0,2.286,1.429,0.571,0.143,439.341,225.154,1565.0,1579.0,3144.0,0.005,0.006
g367,pasturana,1.0,6.0,4.0,0.0,9.0,1.5,1.333,0.333,0.333,351.318,304.127,605.0,660.0,1265.0,0.007,0.012
g368,pasturo,3.0,97.0,7.0,0.0,15.0,1.5,0.6,0.2,0.2,426.886,231.704,978.0,959.0,1937.0,0.008,0.006
g370,paternopoli,15.0,64.0,35.0,6.0,88.0,2.146,1.073,0.488,0.073,534.951,273.335,1120.0,1141.0,2261.0,0.039,0.039
g371,paternò,19.0,87.0,1997.0,148.0,5670.0,2.643,1.352,0.708,0.048,555.241,270.492,22537.0,23665.0,46202.0,0.123,0.123
g372,paternocalabro,18.0,78.0,36.0,0.0,93.0,2.514,1.324,0.514,0.054,602.341,277.209,692.0,669.0,1361.0,0.068,0.073
g374,patrica,12.0,60.0,60.0,7.0,145.0,2.164,1.164,0.522,0.09,537.817,260.738,1540.0,1572.0,3112.0,0.047,0.05
g376,pattada,20.0,90.0,33.0,0.0,68.0,1.943,0.943,0.4,0.057,534.796,224.213,1522.0,1471.0,2993.0,0.023,0.022
g377,patti,19.0,83.0,362.0,36.0,947.0,2.379,1.166,0.54,0.068,520.831,262.262,6218.0,6743.0,12961.0,0.073,0.069
g378,patù,16.0,75.0,17.0,4.0,35.0,1.667,0.857,0.333,0.095,448.549,175.044,777.0,865.0,1642.0,0.021,0.021
g379,pau,20.0,95.0,7.0,0.0,16.0,2.0,0.875,0.375,0.25,464.388,230.159,140.0,156.0,296.0,0.054,0.045
